"id","name","bio","created_at","userId","updated_at"
3,A Martin,Biography details and dummy summary text for author A Martin.,2026-05-25 22:02:08.625 +0530,12,2026-05-30 12:36:16.086
4,A Rich,Biography details and dummy summary text for author A Rich.,2026-05-25 22:02:08.625 +0530,13,2026-05-30 12:36:16.092
5,A Soljenitsyne,Biography details and dummy summary text for author A Soljenitsyne.,2026-05-25 22:02:08.625 +0530,14,2026-05-30 12:36:16.098
6,A'Lelia Bundles,Biography details and dummy summary text for author A'Lelia Bundles.,2026-05-25 22:02:08.625 +0530,15,2026-05-30 12:36:16.102
7,A. A. Attanasio,Biography details and dummy summary text for author A. A. Attanasio.,2026-05-25 22:02:08.625 +0530,16,2026-05-30 12:36:16.106
8,A. A. Milne,Biography details and dummy summary text for author A. A. Milne.,2026-05-25 22:02:08.625 +0530,17,2026-05-30 12:36:16.111
10,"A. B., Jr. Guthrie","Biography details and dummy summary text for author A. B., Jr. Guthrie.",2026-05-25 22:02:08.625 +0530,19,2026-05-30 12:36:16.122
11,A. Bry,Biography details and dummy summary text for author A. Bry.,2026-05-25 22:02:08.625 +0530,20,2026-05-30 12:36:16.129
12,A. C Grayling,Biography details and dummy summary text for author A. C Grayling.,2026-05-25 22:02:08.625 +0530,21,2026-05-30 12:36:16.134
13,A. C. Bhaktivedanta Swami Prabhupada,Biography details and dummy summary text for author A. C. Bhaktivedanta Swami Prabhupada.,2026-05-25 22:02:08.625 +0530,22,2026-05-30 12:36:16.137
14,A. C. Crispin,Biography details and dummy summary text for author A. C. Crispin.,2026-05-25 22:02:08.625 +0530,23,2026-05-30 12:36:16.142
15,A. C. Doyle,Biography details and dummy summary text for author A. C. Doyle.,2026-05-25 22:02:08.625 +0530,24,2026-05-30 12:36:16.147
17,A. C. Weisbecker,Biography details and dummy summary text for author A. C. Weisbecker.,2026-05-25 22:02:08.625 +0530,26,2026-05-30 12:36:16.158
18,"A. Carman, Clark","Biography details and dummy summary text for author A. Carman, Clark.",2026-05-25 22:02:08.625 +0530,27,2026-05-30 12:36:16.165
19,A. E. Parker,Biography details and dummy summary text for author A. E. Parker.,2026-05-25 22:02:08.625 +0530,28,2026-05-30 12:36:16.171
20,A. E. Van Vogt,Biography details and dummy summary text for author A. E. Van Vogt.,2026-05-25 22:02:08.625 +0530,29,2026-05-30 12:36:16.177
21,A. E. Wilder-Smith,Biography details and dummy summary text for author A. E. Wilder-Smith.,2026-05-25 22:02:08.625 +0530,30,2026-05-30 12:36:16.182
22,A. Edwards,Biography details and dummy summary text for author A. Edwards.,2026-05-25 22:02:08.625 +0530,31,2026-05-30 12:36:16.185
23,A. Francis,Biography details and dummy summary text for author A. Francis.,2026-05-25 22:02:08.625 +0530,32,2026-05-30 12:36:16.189
25,A. G. Mojtabai,Biography details and dummy summary text for author A. G. Mojtabai.,2026-05-25 22:02:08.625 +0530,34,2026-05-30 12:36:16.196
26,A. Herge,Biography details and dummy summary text for author A. Herge.,2026-05-25 22:02:08.625 +0530,35,2026-05-30 12:36:16.200
27,A. Hoehling,Biography details and dummy summary text for author A. Hoehling.,2026-05-25 22:02:08.625 +0530,36,2026-05-30 12:36:16.203
28,A. J McClane,Biography details and dummy summary text for author A. J McClane.,2026-05-25 22:02:08.625 +0530,37,2026-05-30 12:36:16.209
30,A. J. Burress,Biography details and dummy summary text for author A. J. Burress.,2026-05-25 22:02:08.625 +0530,39,2026-05-30 12:36:16.220
31,A. J. Hill,Biography details and dummy summary text for author A. J. Hill.,2026-05-25 22:02:08.625 +0530,40,2026-05-30 12:36:16.224
32,A. J. Holt,Biography details and dummy summary text for author A. J. Holt.,2026-05-25 22:02:08.625 +0530,41,2026-05-30 12:36:16.229
33,A. J. Langguth,Biography details and dummy summary text for author A. J. Langguth.,2026-05-25 22:02:08.625 +0530,42,2026-05-30 12:36:16.238
34,A. J. Meadows,Biography details and dummy summary text for author A. J. Meadows.,2026-05-25 22:02:08.625 +0530,43,2026-05-30 12:36:16.243
35,A. J. Orde,Biography details and dummy summary text for author A. J. Orde.,2026-05-25 22:02:08.625 +0530,44,2026-05-30 12:36:16.247
36,A. J. Quinnell,Biography details and dummy summary text for author A. J. Quinnell.,2026-05-25 22:02:08.625 +0530,45,2026-05-30 12:36:16.252
37,A. J. Russell,Biography details and dummy summary text for author A. J. Russell.,2026-05-25 22:02:08.625 +0530,46,2026-05-30 12:36:16.256
38,A. J. Wood,Biography details and dummy summary text for author A. J. Wood.,2026-05-25 22:02:08.625 +0530,47,2026-05-30 12:36:16.261
40,A. K. Best,Biography details and dummy summary text for author A. K. Best.,2026-05-25 22:02:08.625 +0530,49,2026-05-30 12:36:16.272
41,A. K. Dewdney,Biography details and dummy summary text for author A. K. Dewdney.,2026-05-25 22:02:08.625 +0530,50,2026-05-30 12:36:16.276
42,A. Keyton Weissinger,Biography details and dummy summary text for author A. Keyton Weissinger.,2026-05-25 22:02:08.625 +0530,51,2026-05-30 12:36:16.279
43,A. L. Alexander,Biography details and dummy summary text for author A. L. Alexander.,2026-05-25 22:02:08.625 +0530,52,2026-05-30 12:36:16.282
44,A. L. Haskett,Biography details and dummy summary text for author A. L. Haskett.,2026-05-25 22:02:08.625 +0530,53,2026-05-30 12:36:16.285
45,A. L. Kennedy,Biography details and dummy summary text for author A. L. Kennedy.,2026-05-25 22:02:08.625 +0530,54,2026-05-30 12:36:16.288
47,A. Lyons,Biography details and dummy summary text for author A. Lyons.,2026-05-25 22:02:08.625 +0530,56,2026-05-30 12:36:16.296
48,A. M. Jenkins,Biography details and dummy summary text for author A. M. Jenkins.,2026-05-25 22:02:08.625 +0530,57,2026-05-30 12:36:16.301
49,A. M. Monson,Biography details and dummy summary text for author A. M. Monson.,2026-05-25 22:02:08.625 +0530,58,2026-05-30 12:36:16.307
50,A. M. Rosenthal,Biography details and dummy summary text for author A. M. Rosenthal.,2026-05-25 22:02:08.625 +0530,59,2026-05-30 12:36:16.312
