"id","title","isbn","category_id","publisher_id","publish_year","image_url_s","image_url_m","image_url_l","created_at","updated_at","author_id"
1,Classical Mythology,"195153448",8,1,2002,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
2,Clara Callan,"2005018",8,2,2001,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
3,Decision in Normandy,"60973129",8,3,1991,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
4,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,"374157065",8,4,1999,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
5,The Mummies of Urumchi,"393045218",8,5,1999,http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
6,The Kitchen Gods Wife,"399135782",8,6,1991,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
7,What If?: The Worlds Foremost Military Historians Imagine What Might Have Been,"425176428",8,7,2000,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
8,PLEADING GUILTY,"671870432",8,8,1993,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
9,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,"679425608",8,9,1996,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
10,Where Youll Find Me: And Other Stories,"074322678X",1,10,2002,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
11,Nights Below Station Street,"771074670",8,11,1988,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
12,Hitlers Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,"080652121X",5,12,2000,http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
13,The Middle Stories,"887841740",1,13,2004,http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
14,Jane Doe,"1552041778",8,14,1999,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
15,A Second Chicken Soup for the Womans Soul (Chicken Soup for the Soul Series),"1558746218",8,15,1998,http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
16,The Witchfinder (Amos Walker Mystery Series),"1567407781",5,16,1998,http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,2026-05-26 00:56:02.495 +0530,2026-05-27 20:55:13.069 +0530,
