"id","name","website","created_at"
1,Oxford University Press,"",2026-05-25 22:10:05.866 +0530
2,HarperFlamingo Canada,"",2026-05-25 22:10:05.866 +0530
3,HarperPerennial,"",2026-05-25 22:10:05.866 +0530
4,Farrar Straus Giroux,"",2026-05-25 22:10:05.866 +0530
5,W. W. Norton &amp; Company,"",2026-05-25 22:10:05.866 +0530
6,Putnam Pub Group,"",2026-05-25 22:10:05.866 +0530
7,Berkley Publishing Group,"",2026-05-25 22:10:05.866 +0530
8,Audioworks,"",2026-05-25 22:10:05.866 +0530
9,Random House,"",2026-05-25 22:10:05.866 +0530
10,Scribner,"",2026-05-25 22:10:05.866 +0530
11,Emblem Editions,"",2026-05-25 22:10:05.866 +0530
12,Citadel Press,"",2026-05-25 22:10:05.866 +0530
13,House of Anansi Press,"",2026-05-25 22:10:05.866 +0530
14,Mira Books,"",2026-05-25 22:10:05.866 +0530
15,Health Communications,"",2026-05-25 22:10:05.866 +0530
16,Brilliance Audio - Trade,"",2026-05-25 22:10:05.866 +0530
17,Kensington Publishing Corp.,"",2026-05-25 22:10:05.866 +0530
18,River City Pub,"",2026-05-25 22:10:05.866 +0530
19,Dell,"",2026-05-25 22:10:05.866 +0530
20,Plume,"",2026-05-25 22:10:05.866 +0530
21,Three Rivers Press,"",2026-05-25 22:10:05.866 +0530
22,Ryland Peters &amp; Small Ltd,"",2026-05-25 22:10:05.866 +0530
23,Cypress House,"",2026-05-25 22:10:05.866 +0530
24,HarperEntertainment,"",2026-05-25 22:10:05.866 +0530
25,Scholastic,"",2026-05-25 22:10:05.866 +0530
26,Aladdin,"",2026-05-25 22:10:05.866 +0530
27,Too Far,"",2026-05-25 22:10:05.866 +0530
28,Ballantine Books,"",2026-05-25 22:10:05.866 +0530
29,Random House Trade Paperbacks,"",2026-05-25 22:10:05.866 +0530
30,LÃ?Â¼bbe,"",2026-05-25 22:10:05.866 +0530
31,Goldmann,"",2026-05-25 22:10:05.866 +0530
32,Alfred A. Knopf,"",2026-05-25 22:10:05.866 +0530
33,Little Brown &amp; Company,"",2026-05-25 22:10:05.866 +0530
34,Harpercollins,"",2026-05-25 22:10:05.866 +0530
35,Avon,"",2026-05-25 22:10:05.866 +0530
36,Bantam,"",2026-05-25 22:10:05.866 +0530
37,Fireside,"",2026-05-25 22:10:05.866 +0530
38,HarperTorch,"",2026-05-25 22:10:05.866 +0530
39,Bantam Books,"",2026-05-25 22:10:05.866 +0530
40,Pocket,"",2026-05-25 22:10:05.866 +0530
41,Tor Books,"",2026-05-25 22:10:05.866 +0530
42,Tyndale House Publishers,"",2026-05-25 22:10:05.866 +0530
43,HarperCollins Publishers,"",2026-05-25 22:10:05.866 +0530
44,Harvest Books,"",2026-05-25 22:10:05.866 +0530
45,Chambers Harrap Publishers Ltd,"",2026-05-25 22:10:05.866 +0530
46,Avon Books,"",2026-05-25 22:10:05.866 +0530
47,Speed Graphics,"",2026-05-25 22:10:05.866 +0530
48,Sunflower Press,"",2026-05-25 22:10:05.866 +0530
49,Laurel Leaf,"",2026-05-25 22:10:05.866 +0530
50,Gallimard,"",2026-05-25 22:10:05.866 +0530
51,Prentice Hall (K-12),"",2026-05-25 22:10:05.866 +0530
52,NTC/Contemporary Publishing Company,"",2026-05-25 22:10:05.866 +0530
53,St. Martin's Press,"",2026-05-25 22:10:05.866 +0530
54,"1stBooks Library","",2026-05-25 22:10:05.866 +0530
55,Avon Trade,"",2026-05-25 22:10:05.866 +0530
56,Penguin Books,"",2026-05-25 22:10:05.866 +0530
57,Signet Book,"",2026-05-25 22:10:05.866 +0530
58,Thomas Nelson,"",2026-05-25 22:10:05.866 +0530
59,Ace Books,"",2026-05-25 22:10:05.866 +0530
60,Landoll,"",2026-05-25 22:10:05.866 +0530
61,Knopf,"",2026-05-25 22:10:05.866 +0530
62,Andrew Scott Publishers,"",2026-05-25 22:10:05.866 +0530
63,Atlantic Monthly Press,"",2026-05-25 22:10:05.866 +0530
64,Hodder &amp; Stoughton General Division,"",2026-05-25 22:10:05.866 +0530
65,Simon &amp; Schuster (Trade Division),"",2026-05-25 22:10:05.866 +0530
66,Perennial,"",2026-05-25 22:10:05.866 +0530
67,McGraw-Hill,"",2026-05-25 22:10:05.866 +0530
68,Bantam Doubleday Dell,"",2026-05-25 22:10:05.866 +0530
69,"Little, Brown","",2026-05-25 22:10:05.866 +0530
70,Minotauro,"",2026-05-25 22:10:05.866 +0530
71,Distribooks,"",2026-05-25 22:10:05.866 +0530
72,Back Bay Books,"",2026-05-25 22:10:05.866 +0530
73,Doubleday Books,"",2026-05-25 22:10:05.866 +0530
74,Warner Books,"",2026-05-25 22:10:05.866 +0530
75,Vintage,"",2026-05-25 22:10:05.866 +0530
76,Hyperion,"",2026-05-25 22:10:05.866 +0530
77,Tusquets,"",2026-05-25 22:10:05.866 +0530
78,Star Trek,"",2026-05-25 22:10:05.866 +0530
79,Pocket Star,"",2026-05-25 22:10:05.866 +0530
80,Tor Books (Mm),"",2026-05-25 22:10:05.866 +0530
81,Harper Mass Market Paperbacks (Mm),"",2026-05-25 22:10:05.866 +0530
82,Warner Books (Mm),"",2026-05-25 22:10:05.866 +0530
83,Onyx Books,"",2026-05-25 22:10:05.866 +0530
84,Free Press,"",2026-05-25 22:10:05.866 +0530
85,Thomas Nelson Inc,"",2026-05-25 22:10:05.866 +0530
86,Edicoes Asa,"",2026-05-25 22:10:05.866 +0530
87,Pan Macmillan,"",2026-05-25 22:10:05.866 +0530
88,Anchor,"",2026-05-25 22:10:05.866 +0530
89,W.W. Norton &amp; Company,"",2026-05-25 22:10:05.866 +0530
90,Arcadia Books,"",2026-05-25 22:10:05.866 +0530
91,"John Hunt Publishing, Ltd.","",2026-05-25 22:10:05.866 +0530
92,Fawcett Books,"",2026-05-25 22:10:05.866 +0530
93,Alianza,"",2026-05-25 22:10:05.866 +0530
94,Downtown Book Center,"",2026-05-25 22:10:05.866 +0530
95,Trafalgar Square,"",2026-05-25 22:10:05.866 +0530
96,Delta,"",2026-05-25 22:10:05.866 +0530
97,Laure Leaf,"",2026-05-25 22:10:05.866 +0530
98,Love Spell,"",2026-05-25 22:10:05.866 +0530
